"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"52";"get tom . টমকে আনো।";"-";"1.540156"
"53";"get tom . টমকে ডাকো।";"input sentence : বুঝলাম।";"6.220117"
"54";"get tom . টমকে ধরো।";"decoded sentence : sit down .";"8.116698"
"55";"get tom . টমকে আনুন।";"";"1.540156"
"56";"get tom . টমকে ডাকুন।";"-";"1.540156"
"57";"get tom . টমকে ধরুন।";"input sentence : আমি চেষ্টা করি।";"4.058349"
"58";"get out . বেরও।";"decoded sentence : i'm not proud of this .";"4.767707"
"59";"get out . বেরো।";"";"4.186577"
"60";"go away! চলে যাও!";"-";"4.186577"
"61";"go away! চলে যান।";"input sentence : একটু হাসুন।";"5.341088"
"62";"go away . চলে যাও।";"decoded sentence : they don't care .";"6.567275"
"63";"go away . চলে যান।";"";"1.540156"
"64";"go home . বাড়ি যাও।";"-";"1.540156"
"65";"go home . বাড়ি যা।";"input sentence : একটু হাসো।";"5.341088"
"66";"go home . বাড়ি যান।";"decoded sentence : they don't care .";"6.567275"
"67";"go slow . আস্তে যান।";"";"1.540156"
"68";"go slow . আস্তে যাও।";"-";"1.540156"
"69";"go slow . আস্তে যা।";"input sentence : আক্রমণ!";"6.220117"
"70";"goodbye! বিদায়।";"decoded sentence : do i have to change trains ?";"2.098057"
"71";"goodbye! এলাম!";"";"30.934850"
"72";"he came . সে এসেছিলো।";"-";"1.540156"
"73";"he came . উনি এসেছিলেন।";"input sentence : ওঠো।";"6.220117"
"74";"he came . ও এসেছিলো।";"decoded sentence : stop screaming .";"8.116698"
"75";"he came . তিনি এসেছিলেন।";"";"1.540156"
"76";"he runs . এ দৌড়ায়।";"-";"1.540156"
"77";"he runs . ইনি দৌড়ান।";"input sentence : উঠুন।";"6.220117"
"78";"he runs . ও দৌড়ায়।";"decoded sentence : she got angry .";"6.567275"
"79";"he runs . সে দৌড়ায়।";"";"1.540156"
"80";"he runs . উনি দৌড়ান।";"-";"1.540156"
"81";"he runs . তিনি দৌড়ান।";"input sentence : বুঝে গেছি!";"5.341088"
"82";"help me! আমাকে সাহায্য করুন!";"decoded sentence : sit down .";"4.058349"
"83";"help us . আমাদের সাহায্য করুন।";"";"0.566592"
"84";"help us . আমাদের সাহায্য করো।";"-";"0.566592"
"85";"help us . আমাদের সাহায্য কর।";"input sentence : ধরেছি!";"4.844232"
"86";"hit tom . টমকে মারো।";"decoded sentence : stop gossiping .";"8.116698"
"87";"hit tom . টমকে মার।";"";"1.540156"
"88";"hit tom . টমকে মারুন।";"-";"1.540156"
"89";"i agree . আমি একমত।";"input sentence : বুঝেছো ?";"5.341088"
"90";"i tried . আমি চেষ্টা করেছিলাম।";"decoded sentence : sit down .";"8.116698"
"91";"i tried . আমি চেষ্টা করেছি।";"";"0.566592"
"92";"i'm tom . আমি টম।";"-";"1.540156"
"93";"i'm shy . আমি লাজুক।";"input sentence : বুঝেছেন ?";"5.341088"
"94";"i'm wet . আমি ভিজে গেছি।";"decoded sentence : sit down .";"8.116698"
"95";"it's me . আমি।";"";"4.186577"
"96";"keep it . ওটা রাখো।";"-";"1.540156"
"97";"keep it . ওটা রাখুন।";"input sentence : বুঝেছিস ?";"5.341088"
"98";"keep it . ওটা রাখ।";"decoded sentence : sit down .";"8.116698"
"99";"me , too . আমিও।";"";"1.540156"
"100";"perfect! একদম ঠিক!";"-";"11.380295"
"101";"show me . আমাকে দেখান।";"input sentence : আমি জানি।";"5.341088"
"102";"show me . আমাকে দেখাও।";"decoded sentence : i'm not proud of that .";"4.767707"
"103";"show me . আমাকে দেখা।";"";"1.540156"
"104";"take it . এটা নিন।";"-";"1.540156"
"105";"take it . এটা নাও।";"input sentence : আমার জানা আছে।";"4.058349"
"106";"take it . এটা নে।";"decoded sentence : i have a cold .";"5.522398"
"107";"tell me . আমাকে বল।";"";"1.540156"
"108";"tell me . আমাকে বলুন।";"-";"1.540156"
"109";"tell me . আমাকে বলো।";"input sentence : আমি হেরে গেছি।";"4.058349"
"110";"tom ate . টম খেয়েছিল।";"decoded sentence : i'm not proud of this .";"4.767707"
"111";"tom ate . টম খেয়েছে।";"";"1.540156"
"112";"tom ran . টম দৌড়াল।";"-";"1.540156"
"113";"tom ran . টম দৌড়েছিল।";"input sentence : আমার ১৯ বছর বয়স।";"3.283637"
"114";"tom won . টম জিতল।";"decoded sentence : i have a cold .";"5.522398"
"115";"wake up . ঘুম থেকে ওঠ।";"";"0.566592"
"116";"wake up . ঘুম থেকে উঠুন।";"-";"0.566592"
"117";"we lost . আমরা হেরে গেছি।";"input sentence : আমি ঠিক আছি।";"4.058349"
"118";"we lost . আমরা হেরে গেছিলাম।";"decoded sentence : i'm not proud of it .";"4.767707"
"119";"welcome . স্বাগতম।";"";"11.380295"
"120";"welcome . সুস্বাগতম।";"-";"11.380295"
"121";"who ate ? কে খেয়েছিল ?";"input sentence : শোন।";"4.844232"
"122";"who ate ? কে খেয়েছিলেন ?";"decoded sentence : "" thanks , this is enough . """;"1.873888"
"123";"who ate ? কে খেয়েছে ?";"";"0.566592"
"124";"who ate ? কে খেয়েছেন ?";"-";"0.566592"
"125";"who ran ? কে দৌড়াল ?";"input sentence : শুনুন।";"4.844232"
"126";"who ran ? কে দৌড়েছিল ?";"decoded sentence : the station is pretty far .";"2.383854"
"127";"who ran ? কে দৌড়ালেন ?";"";"0.566592"
"128";"who ran ? কে দৌড়েছিলেন ?";"-";"0.566592"
"129";"who won ? কে জিতল ?";"input sentence : কোন মতেই না!";"4.058349"
"130";"who won ? কে জিতেছিল ?";"decoded sentence : no problem .";"4.058349"
"131";"why not ? কেন নয় ?";"";"0.566592"
"132";"you run . তুমি দৌড়াও।";"-";"1.540156"
"133";"you run . তোমরা দৌড়াও।";"input sentence : সত্যি ?";"5.341088"
"134";"you run . আপনি দৌড়ান।";"decoded sentence : he can speak japanese .";"5.522398"
"135";"you run . আপনারা দৌড়ান।";"";"1.540156"
"136";"you won . আপনি জিতলেন।";"-";"1.540156"
"137";"you won . তুমি জিতলে।";"input sentence : তাই নাক ?";"4.058349"
"138";"be quiet . চুপ কর।";"decoded sentence : that's my brother .";"6.567275"
"139";"be quiet . চুপ করো।";"";"1.540156"
"140";"be quiet . চুপ করুন।";"-";"1.540156"
"141";"call tom . টমকে ডাকো।";"input sentence : ধন্যবাদ।";"6.220117"
"142";"call tom . টমকে ডাকুন।";"decoded sentence : she got sick this weekend .";"4.767707"
"143";"call tom . টমকে ফোন করো।";"";"0.566592"
"144";"call tom . টমকে ফোন করুন।";"-";"0.566592"
"145";"don't go . যেও না।";"input sentence : চেখে দেখুন।";"5.341088"
"146";"don't go . যাবেন না।";"decoded sentence : stop screaming .";"8.116698"
"147";"don't go . যাস না।";"";"1.540156"
"148";"get lost! যাও এখান থেকে!";"-";"1.540156"
"149";"get lost! যান এখান থেকে!";"input sentence : চেখে দেখো।";"5.341088"
"150";"get lost! যা এখান থেকে!";"decoded sentence : stop screaming .";"4.058349"
"151";"grab tom . টমকে ধরো।";"";"1.540156"
"152";"grab tom . টমকে ধরুন।";"-";"1.540156"
"153";"have fun . আনন্দ কর।";"input sentence : আমরা জিতে গেছে।";"4.058349"
"154";"have fun . মজা কর।";"decoded sentence : we're going the wrong way .";"4.767707"
"155";"have fun . আনন্দ করুন।";"";"1.540156"
"156";"have fun . মজা করুন।";"-";"1.540156"
"157";"he spoke . উনি বললেন।";"input sentence : আমিই কেন ?";"4.058349"
"158";"he spoke . সে বললো।";"decoded sentence : i want to see how tom lives .";"3.747777"
"159";"he spoke . ও বললো।";"";"1.540156"
"160";"he spoke . তিনি বললেন।";"-";"1.540156"
"161";"he tries . উনি চেষ্টা করেন।";"input sentence : টমকে জিজ্ঞাসা করো।";"4.058349"
"162";"he tries . তিনি চেষ্টা করেন।";"decoded sentence : tom still has a few options .";"4.196115"
"163";"he tries . ও চেষ্টা করে।";"";"0.566592"
"164";"he tries . সে চেষ্টা করে।";"-";"0.566592"
"165";"help tom . টমকে সাহায্য করো।";"input sentence : টমকে জিজ্ঞাসা করুন।";"8.116698"
"166";"help tom . টমকে সাহায্য করুন।";"decoded sentence : tom still has a few options .";"4.990050"
"167";"how deep ? কতটা গভীর ?";"";"0.566592"
"168";"hurry up . তাড়াতাড়ি করো।";"-";"1.540156"
"169";"hurry up . তাড়াতাড়ি কর।";"input sentence : টমকে জিজ্ঞাসা কর।";"8.116698"
"170";"hurry up . তাড়াতাড়ি করুন।";"decoded sentence : tom still has a few options .";"4.196115"
"171";"i can go . আমি যেতে পারি।";"";"0.208437"
"172";"i forgot . আমি ভুলে গেছি।";"-";"0.566592"
"173";"i get it . আমি বুঝতে পারলাম।";"input sentence : আমাকে ডেক।";"3.580238"
"174";"i got it . আমি বুঝেছি।";"decoded sentence : tell me .";"8.116698"
"175";"i got it . আমি বুঝে গেছি।";"";"0.208437"
"176";"i refuse . আমি অস্বীকার করছি।";"-";"0.566592"
"177";"i stayed . আমি থাকলাম।";"input sentence : আমাকে ডাকবেন।";"5.341088"
"178";"i stayed . আমি থেকে গেলাম।";"decoded sentence : tell me .";"8.116698"
"179";"i use it . আমি এটা ব্যবহার করি।";"";"0.076680"
"180";"i waited . আমি অপেক্ষা করলাম।";"-";"0.566592"
"181";"i'm back . আমি এসে গেছি।";"input sentence : আমাকে ডাকিস।";"4.372913"
"182";"i'm back . আমি ফিরে এসেছি।";"decoded sentence : tell me .";"8.116698"
"183";"i'm busy . আমি ব্যস্ত।";"";"1.540156"
"184";"i'm cold . আমার শীত করছে।";"-";"0.566592"
"185";"i'm fine . আমি ঠিক আছি।";"input sentence : আমাদের ডেকো।";"4.372913"
"186";"i'm full . আমার পেট ভরতি হয়ে গেছে।";"decoded sentence : let me speak .";"5.693025"
"187";"i'm home . আমি এসে গেছি।";"";"0.566592"
"188";"i'm lazy . আমি কুঁড়ে।";"-";"1.540156"
"189";"i'm lazy . আমি অলস।";"input sentence : আমাদের ডাকিস।";"5.341088"
"190";"i'm lost . আমি হারিয়ে গেছি।";"decoded sentence : let me speak .";"6.567275"
"191";"i'm okay . আমি ঠিক আছি।";"";"0.566592"
"192";"i'm poor . আমি গরিব।";"-";"1.540156"
"193";"i'm sick . আমি অসুস্থ।";"input sentence : আমাদের ডাকবেন।";"5.341088"
"194";"i'm well . আমি ভালো আছি।";"decoded sentence : let me speak .";"6.567275"
"195";"i've won . আমি জিতে গেছি।";"";"0.566592"
"196";"it's new . এটা নতুন।";"-";"1.540156"
"197";"kiss tom . টমকে চুমু করুন।";"input sentence : ভেতরে আসুন।";"4.372913"
"198";"kiss tom . টমকে চুমু করো।";"decoded sentence : don't come in .";"6.567275"
"199";"leave it . ছাড়ো।";"";"4.186577"
"200";"leave it . ছাড়।";"-";"4.186577"
"201";"leave it . ছাড়ুন।";"input sentence : ভেতরে আসো।";"5.341088"
"202";"leave me . আমাকে চেড়ে দাও।";"decoded sentence : don't come in .";"6.567275"
"203";"leave me . আমাকে চেড়ে দিন।";"";"0.566592"
"204";"leave me . আমাকে চেড়ে দে।";"-";"0.566592"
"205";"leave us . আমাদের চেড়ে দাও।";"input sentence : টমকে আনো।";"4.372913"
"206";"leave us . আমাদের চেড়ে দিন।";"decoded sentence : tom still has a few options .";"4.196115"
"207";"leave us . আমাদের চেড়ে দে।";"";"0.566592"
"208";"let's go! যাওয়া যাক!";"-";"4.186577"
"209";"let's go . যাওয়া যাক।";"input sentence : টমকে ডাকো।";"5.341088"
"210";"sit down! বসো!";"decoded sentence : tom still has a few options .";"2.098057"
"211";"sit down! বস!";"";"11.380295"
"212";"sit down! বসুন!";"-";"11.380295"
"213";"sit down . বসুন।";"input sentence : টমকে ধরো।";"5.341088"
"214";"sit down . বস।";"decoded sentence : tom still has a few options .";"4.196115"
"215";"sit down . বসো।";"";"4.186577"
"216";"speak up! জোরে বলো!";"-";"4.186577"
"217";"speak up! জোরে বল!";"input sentence : টমকে আনুন।";"5.341088"
"218";"stand up! দাঁড়াও!";"decoded sentence : tom still has a few options .";"2.098057"
"219";"stand up! দাঁড়া!";"";"11.380295"
"220";"stand up! দাঁড়ান!";"-";"11.380295"
"221";"stand up . দাঁড়াও।";"input sentence : টমকে ডাকুন।";"5.341088"
"222";"stand up . দাঁড়া।";"decoded sentence : tom still has a few options .";"4.196115"
"223";"stand up . দাঁড়ান।";"";"4.186577"
"224";"stop tom . টমকে থামান।";"-";"1.540156"
"225";"stop tom . টমকে থামাও।";"input sentence : টমকে ধরুন।";"10.682175"
"226";"stop tom . টমকে আটকাও।";"decoded sentence : tom still has a few options .";"4.990050"
"227";"stop tom . টমকে আটকান।";"";"1.540156"
"228";"tell tom . টমকে বলো।";"-";"1.540156"
"229";"tell tom . টমকে বলুন।";"input sentence : বেরও।";"6.220117"
"230";"terrific! দারুন!";"decoded sentence : sit down .";"4.058349"
"231";"they won . তারা জিতলো।";"";"1.540156"
"232";"they won . ওনারা জিতলেন।";"-";"1.540156"
"233";"they won . ওরা জিতলো।";"input sentence : বেরো।";"6.220117"
"234";"they won . তাঁরা জিতলো।";"decoded sentence : sit down .";"8.116698"
"235";"tom came . টম এলো।";"";"1.540156"
"236";"tom came . টম এসেছিলো।";"-";"1.540156"
"237";"tom died . টম মারা গেছে।";"input sentence : চলে যাও!";"4.372913"
"238";"tom died . টম মারা গেলো।";"decoded sentence : stop screaming .";"8.116698"
"239";"tom knew . টম জানতো।";"";"1.540156"
"240";"tom lied . টম মিথ্যা কথা বললো।";"-";"0.208437"
"241";"tom lies . টম মিথ্যে বলে।";"input sentence : চলে যান।";"4.372913"
"242";"tom lost . টম হেরে গেলো।";"decoded sentence : stop screaming .";"8.116698"
"243";"trust me . আমাকে বিশ্বাস করো।";"";"0.566592"
"244";"trust me . আমাকে বিশ্বাস কর।";"-";"0.566592"
"245";"trust me . আমাকে বিশ্বাস করুন।";"input sentence : চলে যাও।";"4.372913"
"246";"try hard . আরও চেষ্টা করো।";"decoded sentence : stop screaming .";"8.116698"
"247";"try hard . আরও চেষ্টা কর।";"";"0.566592"
"248";"try hard . আরও চেষ্টা করুন।";"-";"0.566592"
"249";"use this . এটা ব্যবহার কর।";"input sentence : চলে যান।";"4.372913"
"250";"use this . এটা ব্যবহার করো।";"decoded sentence : stop screaming .";"8.116698"
"251";"use this . এটা ব্যবহার করুন।";"";"0.566592"
"252";"we agree . আমরা একমত।";"-";"1.540156"
"253";"we tried . আমরা চেষ্টা করেছিলাম।";"input sentence : বাড়ি যাও।";"4.372913"
"254";"what for ? কি জন্যে ?";"decoded sentence : step outside .";"4.058349"
"255";"what for ? কি কারনে ?";"";"0.566592"
"256";"what fun! কি মজা!";"-";"4.186577"
"257";"who came ? কে এসেছিলো ?";"input sentence : বাড়ি যা।";"4.372913"
"258";"who came ? কে কে এসেছিলো ?";"decoded sentence : step outside .";"3.435318"
"259";"who came ? কে এলো ?";"";"0.566592"
"260";"who fell ? কে পড়লো ?";"-";"0.566592"
"261";"who's he ? উনি কে ?";"input sentence : বাড়ি যান।";"4.372913"
"262";"who's he ? ও কে ?";"decoded sentence : step outside .";"4.058349"
"263";"who's he ? সে কে ?";"";"0.566592"
"264";"who's he ? তিনি কে ?";"-";"0.566592"
"265";"answer me . আমার প্রশ্নের জবাব দিন।";"input sentence : আস্তে যান।";"3.580238"
"266";"answer me . আমার প্রশ্নের জবাব দাও।";"decoded sentence : "" i am your friend , right ? """;"1.693249"
"267";"answer me . উত্তর দিন।";"";"1.540156"
"268";"answer me . উত্তর দাও।";"-";"1.540156"
"269";"birds fly . পাখি ওড়ে।";"input sentence : আস্তে যাও।";"5.341088"
"270";"calm down . শান্ত হোন।";"decoded sentence : "" i am your friend , right ? """;"1.693249"
"271";"calm down . শান্ত হও।";"";"1.540156"
"272";"can i eat ? আমি কি খেতে পারি ?";"-";"0.028209"
"273";"don't cry . কেঁদো না।";"input sentence : আস্তে যা।";"5.341088"
"274";"go inside . ভেতরে যান।";"decoded sentence : "" i am your friend , right ? """;"1.693249"
"275";"go inside . ভেতরে যাও।";"";"1.540156"
"276";"how weird! কি অদ্ভুত!";"-";"4.186577"
"277";"i am busy . আমি ব্যস্ত।";"input sentence : বিদায়।";"4.844232"
"278";"i am cold . আমার শীত করছে।";"decoded sentence : sit down .";"6.870636"
"279";"i am fine . আমি ঠিক আছি।";"";"0.208437"
"280";"i am okay . আমি ঠিক আছি।";"-";"0.208437"
"281";"i am sick . আমি অসুস্থ।";"input sentence : এলাম!";"4.844232"
"282";"i am well . আমি ভালো আছি।";"decoded sentence : stop gossiping .";"6.870636"
"283";"i can run . আমি দৌড়াতে পারি।";"";"0.208437"
"284";"i can ski . আমি স্কী করতে পারি।";"-";"0.076680"
"285";"i fainted . আমি অজ্ঞান হয়ে গেলাম।";"input sentence : সে এসেছিলো।";"3.580238"
"286";"i hit tom . আমি টমকে মারলাম।";"decoded sentence : he is a doctor .";"5.522398"
"287";"i saw him . আমি তাকে দখতে পেলাম।";"";"0.076680"
"288";"i saw him . আমি ওনাকে দখতে পেলাম।";"-";"0.076680"
"289";"i want it . আমার এটা চাই।";"input sentence : উনি এসেছিলেন।";"3.580238"
"290";"i will go . আমি যাবো।";"decoded sentence : he is a doctor .";"5.522398"
"291";"i'll talk . আমি কথা বলব।";"";"0.566592"
"292";"i'm awake . আমি জেগে আছি।";"-";"0.566592"
"293";"i'm broke . আমি দেউলিয়া হয়ে গেছি।";"input sentence : ও এসেছিলো।";"3.580238"
"294";"i'm clean . আমি পরিষ্কার।";"decoded sentence : she is a doctor .";"5.522398"
"295";"i'm ready . আমি তৈরি।";"";"1.540156"
"296";"i'm right . আমিই ঠিক।";"-";"1.540156"
"297";"i'm right . আমি ঠিক।";"input sentence : তিনি এসেছিলেন।";"5.341088"
"298";"i'm sorry . ক্ষমা করবেন।";"decoded sentence : he is a doctor .";"5.522398"
"299";"i'm tired . আমি ক্লান্ত।";"";"1.540156"
"300";"it's 7 : 45 . এখন ৭ : ৪৫।";"-";"0.028209"
"301";"it's late . দেরী হয়ে গেছে।";"input sentence : এ দৌড়ায়।";"4.372913"
"302";"it's ours . এটা আমাদের।";"decoded sentence : she's my wifee to tacket .";"4.767707"
"303";"leave tom . টমকে ছাড়ো।";"";"1.540156"
"304";"leave tom . টমকে ছাড়ুন।";"-";"1.540156"
"305";"leave tom . টমের কথা ছাড়ো।";"input sentence : ইনি দৌড়ান।";"4.372913"
"306";"leave tom . টমের কথা ছাড়ুন।";"decoded sentence : he is a doctor .";"5.522398"
"307";"let me go! আমাকে যেতে দাও!";"";"0.566592"
"308";"let me in . আমাকে ঢুকতে দিন।";"-";"0.208437"
"309";"let me in . আমাকে ঢুকতে দাও।";"input sentence : ও দৌড়ায়।";"3.580238"
"310";"let us in . আমাদের ঢুকতে দিন।";"decoded sentence : he is a doctor .";"5.522398"
"311";"let's ask . জিজ্ঞাসা করা যাক।";"";"0.566592"
"312";"may i eat ? আমি কি খেতে পারি ?";"-";"0.028209"
"313";"of course! নিশ্চই!";"input sentence : সে দৌড়ায়।";"5.341088"
"314";"of course! অবশ্যই!";"decoded sentence : he is a doctor .";"2.761199"
"315";"of course . নিশ্চই।";"";"4.186577"
"316";"of course . অবশ্যই।";"-";"4.186577"
"317";"pardon me ? কী বললেন ?";"input sentence : উনি দৌড়ান।";"4.372913"
"318";"pardon me ? কী বললে ?";"decoded sentence : he is a doctor .";"2.761199"
"319";"see above . উপরে দেখুন।";"";"1.540156"
"320";"see below . নীচে দেখুন।";"-";"1.540156"
"321";"she walks . উনি হাঁটেন।";"input sentence : তিনি দৌড়ান।";"5.341088"
"322";"she walks . সে হাঁটে।";"decoded sentence : he is a doctor .";"5.522398"
"323";"she walks . ও হাঁটে।";"";"1.540156"
"324";"she walks . তিনি হাঁটেন।";"-";"1.540156"
"325";"sign here . এখানে সই করুন।";"input sentence : আমাকে সাহায্য করুন!";"4.058349"
"326";"slow down . আস্তে চালান।";"decoded sentence : tell me .";"8.116698"
"327";"stay here . এখানে দাঁড়ান।";"";"1.540156"
"328";"stay here . এখানে দাঁড়াও।";"-";"1.540156"
"329";"then what ? তাহলে ?";"input sentence : আমাদের সাহায্য করুন।";"4.058349"
"330";"then what ? তাহলে আবার কী ?";"decoded sentence : let me speak .";"3.283637"
"331";"tom tried . টম চেষ্টা করলো।";"";"0.566592"
"332";"tom tries . টম চেষ্টা করে।";"-";"0.566592"
"333";"tom voted . টম ভোট দিলো।";"input sentence : আমাদের সাহায্য করো।";"4.058349"
"334";"tom walks . টম হাঁটে।";"decoded sentence : let me speak .";"6.567275"
"335";"tom's shy . টম লাজুক।";"";"1.540156"
"336";"trust tom . টমকে বিশ্বাস করুন।";"-";"0.566592"
"337";"trust tom . টমকে বিশ্বাস করো।";"input sentence : আমাদের সাহায্য কর।";"4.058349"
"338";"try again . আবার চেষ্টা করুন।";"decoded sentence : let me speak .";"6.567275"
"339";"try again . আবার চেষ্টা করো।";"";"0.566592"
"340";"turn left . বাঁদিকে ঘুরুন।";"-";"1.540156"
"341";"turn left . বাঁদিকে ঘোরো।";"input sentence : টমকে মারো।";"5.341088"
"342";"wait here . এখানে অপেক্ষা করুন।";"decoded sentence : tom still has a few options .";"4.196115"
"343";"wait here . এখানে অপেক্ষা করো।";"";"0.566592"
"344";"watch tom . টমের উপর নজর রাখো।";"-";"0.208437"
"345";"watch tom . টমের উপর নজর রাখুন।";"input sentence : টমকে মার।";"3.580238"
"346";"watch out! দেখে!";"decoded sentence : tom still has a few options .";"2.098057"
"347";"watch out! সাবধানে!";"";"11.380295"
"348";"we failed . আমরা অসফল হলাম।";"-";"0.566592"
"349";"we forgot . আমরা ভুলে গেলাম।";"input sentence : টমকে মারুন।";"4.372913"
"350";"we saw it . আমরা দেখেছি।";"decoded sentence : tom still has a few options .";"4.196115"
"351";"we'll try . আমরা চেষ্টা করব।";"";"0.566592"
"352";"we'll win . আমরাই জিতব।";"-";"1.540156"
"353";"we'll win . আমরা জিতবই।";"input sentence : আমি একমত।";"5.341088"
"354";"we're shy . আমরা লাজুক।";"decoded sentence : i'm not proud of this .";"4.767707"
"355";"what else ? আর কী ?";"";"0.566592"
"356";"what's up ? কি খবর ?";"-";"0.566592"
"357";"who cares ? কার কী এসে যায় ?";"input sentence : আমি চেষ্টা করেছিলাম।";"2.907934"
"358";"who is he ? উনি কে ?";"decoded sentence : i want to be as tall as tom .";"1.693249"
"359";"who is he ? ও কে ?";"";"0.208437"
"360";"who is he ? সে কে ?";"-";"0.208437"
"361";"who is he ? তিনি কে ?";"input sentence : আমি চেষ্টা করেছি।";"3.435318"
"362";"who is it ? কে ?";"decoded sentence : i'm not proud of this .";"2.383854"
"363";"who's she ? উনি কে ?";"";"0.566592"
"364";"who's she ? ও কে ?";"-";"0.566592"
"365";"who's she ? সে কে ?";"input sentence : আমি টম।";"4.372913"
"366";"who's she ? তিনি কে ?";"decoded sentence : i'm not proud of it .";"2.383854"
"367";"wonderful! দারুন!";"";"30.934850"
"368";"you drive . আপনিই চালান।";"-";"1.540156"
"369";"you drive . তুমি চালাও।";"input sentence : আমি লাজুক।";"5.341088"
"370";"be careful . সাবধানে।";"decoded sentence : i'm not proud of that .";"4.767707"
"371";"birds sing . পাখি গান গায়।";"";"0.566592"
"372";"come again . আবার আসবেন।";"-";"1.540156"
"373";"come again . আবার এসো।";"input sentence : আমি ভিজে গেছি।";"4.058349"
"374";"definitely! নিশ্চই!";"decoded sentence : i'm not proud of that .";"2.383854"
"375";"definitely! একদম!";"";"30.934850"
"376";"don't come . এসো না।";"-";"1.540156"
"377";"don't come . আসবেন না।";"input sentence : আমি।";"6.220117"
"378";"don't come . আসিস না।";"decoded sentence : i'm not proud of it .";"4.767707"
"379";"don't talk! কথা বলবেন না!";"";"1.540156"
"380";"don't talk! কথা বলিস না!";"-";"1.540156"
"381";"don't talk! কথা বোল না!";"input sentence : ওটা রাখো।";"5.341088"
"382";"don't talk . কথা বোল না।";"decoded sentence : that's my brother .";"6.567275"
"383";"don't talk . কথা বলিস না।";"";"0.566592"
"384";"don't talk . কথা বলবেন না।";"-";"0.566592"
"385";"fill it up . ভর্তি করে দিন।";"input sentence : ওটা রাখুন।";"3.580238"
"386";"follow tom . টমকে অনুসরণ করো।";"decoded sentence : that's my brother .";"6.567275"
"387";"follow tom . টমকে অনুসরণ করুন।";"";"0.566592"
"388";"follow tom . টমের পেছন পেছন যান।";"-";"0.208437"
"389";"follow tom . টমের পেছন পেছন যাও।";"input sentence : ওটা রাখ।";"3.580238"
