"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"66";"but situation will not change .";"বৌদ্ধধর্মের ১৮৬৫ ক্ষেত্রে আক্রমণ হয় না।";"4.058349"
"67";"but what do we do with zubair's visible body and invisible killers ?";"এই ধরনের যদি দেখা যাচ্ছিলো উচিৎ কখনই মেনে নেয় না যে বিদায়।";"1.557865"
"68";"the investigation report will be written - the brutal murder has been done , but murderers have not been identified .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.509943"
"69";"for example , the murderers of du student abu bakr disappeared after almost two years .";"রাতটা কুয়াশার মানুষ তাদের জন্য হোলো কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.230897"
"70";"university is the institution of higher education and higher morality .";"আকাশ কুয়াশার জায়গায় একজনকেও পশ্চিম যাচ্ছিলো";"1.763751"
"71";"the second aspect of the murder of zubair is barbarism .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.908841"
"72";"he was taken away in front of everyone's eyes , and at the public place , under the open sky , was killed after one hour .";"প্রথমে বাড়ি খেলার জন্য কোথায় করা ও একদমই মেনে নেয় না যে ও ভুল করেছে।";"0.590410"
"73";"the scalp and various parts of the body are broken by rod .";"সূর্য পূর্বদিকে উদয় হয় তাদের দুটোই স্থির হয়ে গেছে।";"1.528480"
"74";"there were innumerable wounds in his body .";"এশিয়াতে মধ্যে অল্পসংখ্যক ছাত্র বাকি ছিল।";"2.907934"
"75";"the boy died because of dripping blood through those wounds .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.873888"
"76";"readers , think of the consequences of such brutality on your body ;";"ভারী কুয়াশার জন্য অনুবাদ করা মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"3.115729"
"77";"or imagine this is done with your loved ones , or imagine that you appear as a witness in that barbarous murder scene ;";"ভারী পাতা ইংরাজি অনুবাদ করা যায় ?";"0.289494"
"78";"then tell , how many degrees of brutality are inflicted on zubair ?";"নিউ ইয়র্কের যদি কোনো চুল জন্য চা পাব বলতে হবে।";"1.554279"
"79";"if your child , your brother , your friend or your classmates or relatives or neighbors have such barbarity , will you shake hand with him ?";"আপনার যদি খুব যদি ভাবছেন করি , তাহলে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.052262"
"80";"will you accept them as your child , your brother , your friend or your classmate or relative or neighbor ?";"আপনি কি অনুগ্রহ করে নিজেকে থামে , কি যাবেন।";"1.256754"
"81";"i do not know what will you do , but jahangirnagar university administration did not left any attempt to protect the killers of jubair .";"আমি জানিনা এটা করা পারতাম , কিন্তু আমার সময় হবে না।";"1.049628"
"82";"the vice-chancellor's first statement was 'do not believe that bcl can do this' .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.426592"
"83";"he said that there are bcl committee in ju , the central committee of bcl supported it .";"উনি জানেন যে ও নিজেকে হত্যা করতে চলেছিলো , কিন্তু তা করার মতো সাহস ছিলো না।";"2.158229"
"84";"but , honorable vice-chancellor , why did you go to the anniversary celebration of bcl in ju campus on january 31 , 2011 ?";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা বেশি সময় লেগেছিলো।";"0.574760"
"85";"whom was you feeding cake ?";"আপনি কখনো ধন্যবাদ , ডাক্তারবাবু।";"4.372913"
"86";"is he not asgar ali , the joint secretary of the bcl's suspended committee ?";"উনি যেহেতু তিনি যে অন্য বসার টুকরোগুলো তুললো।";"1.151039"
"87";"asghar ali and his staff are involved in the murder of jubair";"ভারী কুয়াশার জন্য একজনকেও আর যান।";"1.492983"
"88";"the vice chancellor temporarily expelled three chhatra league activists who are accused of murder in order to save them .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.826822"
"89";"afterwards , he expelled them permanently under the pressure of movement .";"উনি যদি দয়া বসেছিলো , লন্ডনের বয়সের ব্যাপারে মিথ্যে কথা বলেছে।";"3.422098"
"90";"but all these these days they have strengthened the administration's hand of university , and suppressed student movement .";"এই কোটি ইংরাজি অনুবাদ করা পৃথিবী আমরা যাওয়ার মতো কফি থাকে না।";"0.944893"
"91";"they could stay above the trial after hijacking , did not they ?";"আপনি বুঝতেই দরজায় ধাক্কা দিলেন , কিন্তু কেউ বেরোলো না।";"3.108558"
"92";"this question arises , who gave them the freedom that the few students who were enjoying the freedom ?";"এই টেপ রেকর্ডারটা আমাদের ইংরাজি শেখা সহজ করে দেবে।";"0.784748"
"93";"jubayer's two identified murderers were rescued by proctor .";"ওই বাক্যটি জায়গায় অনুবাদ যাচ্ছিলো উচিৎ করা উচিৎ নয়।";"2.383854"
"94";"the vice-chancellor of jahangirnagar university and his supporters have kept such a systematic procedure , which is not unusual for the good of such incidents .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.958416"
"95";"therefore , the procedural liability of the university administration can not be denied in jubayer killing .";"ভারী পাতা জায়গায় অনুবাদ করতে তাহলে তাদের প্রাণ ছোড়া উচিৎ একজন।";"1.086065"
"96";"proctor has resigned following the demands of the situation , but obligation of the owner of the order cannot be avoided by resignation ?";"রাতটা কুয়াশার হলে অনুবাদ থামে , দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.442256"
"97";"most importantly , zubair informed the proctor along with administration about the danger before going for exam .";"বেশীভাগ জাপানীরাই লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"0.682170"
"98";"a petition was submitted to the administration on this matter .";"অনেকেই হচ্ছে টম এই দলের সব নয়।";"1.854330"
"99";"his classmates claims that he called the proctor on the day of the incident asking for protection .";"উনি যখন ভাজ যে মেরি শহর জন নিজেদের করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.079115"
"100";"it has to be recorded in his mobile phone call list or phone company .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.302622"
"101";"see the prothom alo of january 11 , the responsibility of administrative politics will be more clear on the murder of zubair and its aftermath .";"রাতটা দেখা হবে। তাই আমাদের সময় দেখা করতে হবে।";"0.360533"
"102";"for these reasons , zubair's father has lost faith i university authorities and demanded jurisdictional justice .";"এই রাস্তা যদি খুব সমস্ত হত্যা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"2.297423"
"103";"this is not the end , the news has been told that the administration has removed the security officer following the demands of the students .";"এটা পৃথিবীর তৃতীয় দীর্ঘতম দিলো , কিন্তু এক";"0.582056"
"104";"actually he was removed from the position of the security officer to the statistics department's officer .";"ভারী খেলতে লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"0.786927"
"105";"even children won't call it punishment .";"কাল বৃষ্টি হলেও আমি সাঁতার কাটতে যাবো।";"3.283637"
"106";"this person was an associate of the rapist group in 1999 .";"শত্রুর প্রকল্পটা সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা জাপানী নয়।";"1.708106"
"107";"unelected vice chancellor sharif enamul kabir made him a security officer .";"ভারী পাতা রেকর্ডারটা আমাদের একদমই চা উচিৎ করতে হবে।";"1.708106"
"108";"the vc himself is well established as the mediator of this .";"ভারী পাতা মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.492983"
"109";"there are 200 newly recruited teachers along with the old teachers to protect him .";"বসন্তের প্রত্যক্ষ লক্ষ মানুষ তাদের প্রাণ অপেক্ষা করতে হয়নি।";"1.223911"
"110";"most of them have been appointed not for eligibility criteria , but by party favor .";"বেশীভাগ জাপানীরাই ইংরাজি কেউ হোলো পুর্ব ইংরাজি মতো মেনে";"1.095204"
"111";"their clash in the meeting of the teachers' association proves how powerful the employer's hands were .";"খাবার তাড়াতাড়ি দিয়ে তাদের বাবা-মায়েরা তাদেরকে দূরে রাখতে চেষ্টা করেছিলেন।";"1.041864"
"112";"for more than 20 - 30 years they will be appointed as a teacher of the university , who will be responsible for the loss of jahangirnagar university and its present and future students .";"রাতটা কুয়াশার সামনে অনুবাদ করা যাও! কিন্তু তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.396631"
"113";"these impotents are more involved in the procurement administrative facilities than educative activities .";"শত্রুর জিনিসটা জিনিস খুব অত সহজ করতে দেবে আমি গর্বিত নই।";"1.426592"
"114";"who is more successful than these impotent teachers in destroying a university ?";"উনি যদি যারা যে ও নিজেকে হত্যা করতে চলেছিলো ,";"1.554279"
"115";"not only jahangirnagar , the situation of the rest of the public university in the country is more or less like this .";"রাতটা শুনবেন , এয়ারপোর্টের জন্য একজনকেও যাওয়ার ব্যাপারে ছোড়া কাপ যায় ?";"1.354090"
"116";"it is possible for the criminal administration to sit on the campus and create events after events of barbaric stature .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.754971"
"117";"those who killed by jubair , should be punished .";"কাঁচের ঘরে যারা থাকে তাদের ঢিল ছোড়া উচিৎ নয়।";"2.133166"
"118";"this protest will not carry any meaning .";"এই পন্যটি চায়নায় শেষ করতে পারবে না।";"2.846513"
"119";"jubayer's death demands judicial investigation .";"এখনকার একই ১৯৪৫ সালে এলাম!";"4.372913"
"120";"now the question is , whether the government , the education adviser , the ugcees will prolong the death of the universities , or will it lead to death by going on ?";"ট্রেনটা সময় খেলার এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.507206"
"121";"in the last years , the popular movements of all the public universities of the country were to close the control of autocracy and terrorism .";"জীবনে চড়াই উতরাই আছে। তাদের আছে।";"0.144778"
"122";"to save higher education , these two will have to be terminated .";"আমি যদি নির্বাচনটা ছাড়িয়ে এসেছি। পরের স্টপটি থেকে আর কতক্ষন লাগবে ?";"1.557865"
"123";"physical punishment of students should be stopped .";"দ্বিতীয় কুয়াশার জন্য একজনকেও ছাড়ে ?";"2.907934"
"124";"teacher's ruthless behavior";"ধাঁধা স্বাধীনতাকে অনুপ্রাণিত করে।";"7.986789"
"125";"their roguery is the sign of the lives of the young people .";"তাদের বাবা-মায়েরা তাদেরকে দূরে দিকে তাদের দিকে তাদের";"1.477963"
"126";"they will laugh , play , and run to and fro .";"মেরিকে আয়নার সামনে আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.674752"
"127";"they will also be attentive to study .";"উনি পরের ঘন্টা সালে দেবে।";"2.931251"
"128";"that is their religion .";"ওই মোটামুটি সুস্বাদু পড়ছে।";"6.220117"
"129";"whether they are in school or at home , they will always be restless .";"ভারী পাতা উদয় করা তাদের প্রাণ ছোড়া উচিৎ নয়।";"1.223911"
"130";"it should not be seen as unfair .";"হতেই রাত আগে টমের মা যাবে।";"2.907934"
"131";"but sadly , in our country , the life of children from eternity is considered as rude .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.549238"
"132";"they were resorted by a catastrophic way to beating them .";"আপনি ঘরে যারা মানুষ তাদের পেয়েছে অপেক্ষা করলো।";"1.897742"
"133";"the result is the opposite .";"পেনটা বাঁদিকে।";"6.766764"
"134";"many children become lifeless in fear of being beaten up .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় পায় না।";"1.693249"
"135";"some others become desperate .";"কেউ কেউ হাসতে করেনি।";"6.220117"
"136";"many of them become inhuman when they are grown up .";"এই ধরনের যদি মিত্রই থামে , তাহলে ওই চিনতে থেকে অনেক যাচ্ছে ?";"1.544528"
"137";"many behave violently .";"বৌদ্ধধর্মের উৎপত্তি গোন।";"16.186478"
"138";"this is the affect of injustice towards them .";"এটা পৃথিবীর তৃতীয় দীর্ঘতম নদী।";"2.399905"
"139";"a teacher of kendua jahari spray government high school in netrakona proved to be a disqualified teacher by kicking-up a six-year-old meritorious child .";"অনেকেই বলে একটা নদী পুর্ব আর পশ্চিমে ভাগ ছোড়া কিন্ত এখনো খেলোয়ার।";"0.622912"
"140";"according to the report published in the prothom alo on sunday , it has been shown that inhuman behavior has been done to the child's education due to creating slightest chaos in class .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো রয়েছে , প্রাণ কিনতে।";"0.380663"
"141";"the child might have to suffer from mental disorder forever because of the fear that has been created in his mind .";"সূর্য পূর্বদিকে উদয় হয় মেরি এক জন অপেক্ষা করতে হয়নি।";"0.631923"
"142";"who will bear the responsibility of making sick child from a joyous boy ?";"গুহার রাস্তা কি হচ্ছে ? আমি জানার জন্য উৎসুক হয়ে আছি। "" আমার কোনো ধারণা নেই। """;"2.286957"
"143";"how did such inhuman behavior in government schools happen ?";"দ্বিতীয় ক্ষমা তেরো বছর দিলেন ,";"2.083626"
"144";"physical torture in the classroom has been banned .";"সূর্য পূর্বদিকে উতরাই তাদের";"2.288253"
"145";"ministry of education has issued circular on this .";"এই ঘরে ভুলগুলো অনুবাদ সময় যায় ?";"2.467579"
"146";"don't the teacher know this ?";"এই বইগুলো কি যেও";"4.844232"
"147";"or does he think that complying with those circulars is not compulsory ?";"এই বইটি সেই সমস্ত মানতেন , কিন্তু যাদের মাতৃভাষা নয়।";"1.554279"
"148";"whether the accused teacher has given physical punishment to the child , it should be confirmed through proper investigation .";"রাতটা থাকার সবচেয়ে জন্য একজনকেও দেখা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"1.904630"
"149";"if he has done unlawful work , he will have to be given an exemplary punishment .";"উনি যদি ওনার ডাক্তারের পরামর্শ মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"2.232517"
"150";"for the sake of an english proverb , it is said that the children go astray if they do not be beaten up .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো কিন্তু বিকালে কাপ কফি করার মতো সাহস ছিলো না।";"0.721128"
"151";"modern civilization does not think this ;";"তোমার মধ্যে দু ঘন্টা থেকে এলাম!";"3.435318"
"152";"instead , promote loving care for winning the mind of the children .";"যুদ্ধে পূর্বদিকে মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.263783"
"153";"friendly behavior is essential for education .";"শহরটাকে দিনে সকাল";"5.954673"
"154";"this is a definite decision in modern science of child psychology .";"একমাত্র বইটি সেই সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা জাপানী নয়।";"1.717744"
"155";"but it is a matter of regret that many wise-skilled teachers do not want to accept it .";"এই বইটি সেই জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.051379"
"156";"they beat students with cane .";"ওনারা কেউ আমার ঘরে তৈরি ফেলেছি।";"4.058349"
"157";"this cruelty has to be abandoned .";"এই পন্যটি এসি বাজে।";"3.772692"
"158";"education and rattan can not go together .";"এখনকার সময় দু ঘন্টা জন্য যথেষ্ট হয় না।";"2.761199"
"159";"psc exam";"ধাঁধা ভেবে দেখুন।";"22.590050"
"160";"what needs to be done for improvement";"আমেরিকাতে কোন মাপের জুতো পরেন ?";"3.435318"
"161";"for the second time , students can enjoy the results of the primary examination .";"রাতটা থাকার সবচেয়ে এসেছিলো , তাদের প্রাণ হারিয়েছিলেন।";"2.302078"
"162";"about 48 percent of the candidates passed the highest class .";"প্রায় প্রায় লক্ষ গ্রামবাসী তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"163";"40 - 50 years ago , not even 10 percent of the examinees were promoted in the next class .";"ভারী পাতা রেকর্ডারটা আমাদের একদমই চা সহজ হয় যায় ?";"0.771832"
"164";"however , there was no public examination system for primary or junior classes .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা বেশি সময় হয়নি।";"1.426592"
"165";"but lately , there are various types of examinations for our young students .";"রাতটা কুয়াশার জন্য আমাদের দু ঘন্টা চা আর এক কাপ কফি থাকে না।";"1.430172"
"166";"30 lakh students were not tested together before .";"নিউ তথ্যের জন্য আমাদের ওয়েবসাইটে এসেছে।";"2.461513"
"167";"it is not impossible to have incompatibilities and misconceptions to evaluate all those exams at the shortest time .";"কয়েক জিনিসটা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.905510"
"168";"apart from that , if the area's exam papers were seen by the teachers in the area , then the possibility of the inflation of number cannot be avoided .";"ভারী কুয়াশার লক্ষ মানুষ তাদের থামে , ছোড়া উচিৎ এক";"0.567882"
"169";"the results of ssc and hsc and results in admission tests of higher education institutions are largely dominated by schools and colleges in the capital .";"সূর্য পূর্বদিকে উদয় হয় তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.423590"
"170";"and why not .";"সবাইকে অখুশি অনুপ্রাণিত করে।";"7.986789"
"171";"the infrastructure in the schools and colleges of the capital are far better then that of outside .";"সূর্য পূর্বদিকে উদয় হয় তাদের দুটোই স্থির একদমই পথ।";"0.876971"
"172";"the teachers excellence and experience are better .";"আবহবার্তা দুটি ১৯৪৫ সালে সমাপ্ত হয়েছিল।";"2.907934"
"173";"educational equipments are more .";"লিঙ্কন ১৮৬৫ অষুধ আছে।";"6.220117"
"174";"in addition , there are several types of coaching opportunities .";"জীবনে চড়াই উতরাই আছে।";"1.387896"
"175";"40 - 50 years ago , the children of the village were markedly on the merit list .";"ভারী কুয়াশার লক্ষ মানুষ তাদের প্রাণ ছোড়া উচিৎ হয় নি।";"0.942718"
"176";"that era has ended now .";"ওই নিজস্ব আ্যপার্টমেন্ট আছে।";"4.844232"
"177";"education is now considered as a product .";"বীজগণিত জাপানীরাই সম্ভব যথেষ্ট কঠিন।";"2.931251"
"178";"education is bought by money .";"বীজগণিত "" তোমার জমা করা না।";"4.058349"
"179";"therefore , it is difficult to get education from the neglected area .";"ভারী চড়াই লক্ষ জন্য নিজের মাতৃভাষা অপেক্ষা হয় না।";"1.528480"
"180";"in such a situation , when the presence of the village in higher education is gradually decreasing , then the results of the primary closing examination can not be matched by the futility of the capital and the success of the village .";"সাধারণ এতই উতরাই আছে। তাদের আছে।";"0.008515"
